dataset,parameter,value,image_type,count,mean_similarity,std_similarity
progan,Noise STD,0.03,Real,4000,0.9479311084896326,0.022563780094632717
progan,Noise STD,0.03,Fake,4000,0.9272967848926783,0.027015808109051062
