dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,73.15,61.83,66.75,0.3035,96.17,27.5,78.0,55.5
biggan,76.12,62.25,67.0,0.36,97.5,27.0,87.0,47.0
cyclegan,88.4,73.26,81.4,0.322,98.45,48.06,76.74,86.05
DALLE2,51.24,50.0,55.5,0.3134,90.0,10.0,62.0,49.0
gaugan,90.81,79.8,82.6,0.4156,93.2,66.4,85.2,80.0
Glide,71.05,60.5,63.83,0.3302,96.17,24.83,80.0,47.67
Midjourney,67.33,55.33,62.83,0.3059,96.17,14.5,75.0,50.67
progan,93.87,83.62,86.25,0.3893,95.25,72.0,87.75,84.75
stable_diffusion_v_1_4,62.15,54.0,60.17,0.2213,94.83,13.17,53.0,67.33
stable_diffusion_v_1_5,61.6,53.25,60.0,0.2339,95.5,11.0,57.75,62.25
stargan,66.38,61.06,62.06,0.4529,79.9,42.21,71.86,52.26
stylegan,62.79,52.18,59.63,0.1984,97.99,6.37,43.72,75.54
stylegan2,72.4,56.72,64.32,0.2446,98.74,14.7,67.46,61.18
VQDM,86.72,73.42,78.83,0.33,96.17,50.67,82.17,75.5
whichfaceisreal,50.21,49.5,53.0,0.4189,74.0,25.0,48.0,58.0
wukong,69.6,56.75,64.5,0.2912,97.33,16.17,73.83,55.17
