dataset,parameter,value,image_type,count,mean_similarity,std_similarity
Midjourney,Noise STD,0.05,Real,600,0.9536167801419894,0.03671944288065558
Midjourney,Noise STD,0.05,Fake,600,0.9374432370066643,0.04344181813530833
