dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,69.73,60.25,63.75,0.4132,93.17,27.33,81.33,46.17
biggan,70.57,59.75,64.0,0.4467,94.0,25.5,90.0,38.0
cyclegan,83.22,70.54,75.19,0.4614,95.35,45.74,88.37,62.02
DALLE2,50.75,47.5,55.5,0.3778,84.0,11.0,59.0,52.0
gaugan,87.05,75.5,79.3,0.4536,89.0,62.0,81.4,77.2
Glide,65.41,57.42,60.5,0.3679,92.33,22.5,67.17,53.83
Midjourney,64.3,55.83,60.75,0.4108,94.17,17.5,79.5,42.0
progan,90.52,80.62,80.62,0.4463,93.5,67.75,84.25,77.0
stable_diffusion_v_1_4,58.4,53.83,57.58,0.3539,92.83,14.83,61.67,53.5
stable_diffusion_v_1_5,58.24,52.06,57.63,0.3523,91.62,12.5,62.12,53.12
stargan,59.66,54.77,56.53,0.5338,71.36,38.19,85.43,27.64
stylegan,58.44,52.35,57.37,0.3355,96.98,7.71,58.96,55.78
stylegan2,68.46,55.78,61.56,0.3729,96.73,14.82,77.14,45.98
VQDM,81.82,69.58,73.42,0.443,93.33,45.83,87.5,59.33
whichfaceisreal,54.07,53.0,56.0,0.4474,69.0,37.0,50.0,62.0
wukong,66.34,56.75,61.0,0.3871,95.5,18.0,72.83,49.17
