dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,71.76,61.08,65.33,0.3531,94.83,27.33,79.0,51.67
biggan,74.53,62.25,67.0,0.3839,96.0,28.5,86.5,47.5
cyclegan,87.13,72.48,79.07,0.3787,97.67,47.29,80.62,77.52
DALLE2,51.04,48.0,55.0,0.314,86.0,10.0,52.0,58.0
gaugan,89.75,78.8,81.4,0.4616,92.0,65.6,88.0,74.8
Glide,68.96,59.25,62.5,0.3705,95.17,23.33,79.5,45.5
Midjourney,66.03,55.58,61.75,0.3556,95.33,15.83,77.33,46.17
progan,92.63,81.88,84.0,0.4195,94.25,69.5,87.75,80.25
stable_diffusion_v_1_4,60.82,54.0,59.42,0.2539,93.83,14.17,48.33,70.5
stable_diffusion_v_1_5,60.51,53.19,58.88,0.2991,94.38,12.0,63.5,54.25
stargan,63.5,58.54,60.3,0.485,76.88,40.2,74.37,46.23
stylegan,60.73,52.26,58.88,0.2702,97.82,6.7,54.94,62.81
stylegan2,70.75,56.47,63.19,0.3262,98.24,14.7,80.03,46.36
VQDM,85.19,72.67,76.75,0.3379,95.17,50.17,75.17,78.33
whichfaceisreal,52.27,50.5,54.0,0.3598,74.0,27.0,16.0,92.0
wukong,69.04,56.58,63.83,0.3638,96.5,16.67,81.17,46.5
