dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,72.92,61.67,66.75,0.3077,96.17,27.17,78.67,54.83
biggan,76.31,62.0,67.75,0.3567,97.5,26.5,87.5,48.0
cyclegan,88.23,72.48,81.78,0.3215,98.45,46.51,76.74,86.82
DALLE2,50.98,49.5,55.5,0.3127,89.0,10.0,61.0,50.0
gaugan,90.72,79.8,82.7,0.4383,93.4,66.2,88.4,77.0
Glide,70.75,60.08,63.58,0.2996,96.0,24.17,74.5,52.67
Midjourney,67.19,55.17,62.92,0.2991,96.0,14.33,73.5,52.33
progan,93.81,83.12,85.88,0.3851,95.25,71.0,86.0,85.75
stable_diffusion_v_1_4,61.99,54.08,60.42,0.2086,94.83,13.33,47.67,73.17
stable_diffusion_v_1_5,61.46,53.25,60.06,0.2462,95.5,11.0,61.62,58.5
stargan,65.79,60.8,61.31,0.4954,80.9,40.7,80.4,42.21
stylegan,62.67,52.09,59.46,0.1966,97.99,6.2,40.7,78.22
stylegan2,72.24,56.66,64.57,0.25,98.62,14.7,69.1,60.05
VQDM,86.52,73.5,78.5,0.3391,96.33,50.67,82.67,74.33
whichfaceisreal,50.46,50.5,53.5,0.4568,74.0,27.0,65.0,42.0
wukong,69.62,56.5,64.83,0.2988,97.0,16.0,75.33,54.33
