dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,70.25,60.92,63.92,0.397,93.17,28.67,77.83,50.0
biggan,71.14,60.75,64.5,0.452,94.5,27.0,91.0,38.0
cyclegan,83.81,71.71,75.97,0.4272,96.12,47.29,79.07,72.87
DALLE2,50.85,48.0,55.0,0.3767,84.0,12.0,58.0,52.0
gaugan,87.43,76.3,79.7,0.459,88.4,64.2,82.6,76.8
Glide,65.88,58.25,60.83,0.3739,92.83,23.67,69.67,52.0
Midjourney,64.32,56.0,60.67,0.4052,94.0,18.0,77.83,43.5
progan,90.82,80.62,81.12,0.4482,93.0,68.25,85.25,77.0
stable_diffusion_v_1_4,58.78,53.83,57.42,0.2853,92.17,15.5,37.5,77.33
stable_diffusion_v_1_5,58.4,52.44,57.81,0.3502,91.62,13.25,62.25,53.37
stargan,60.27,55.78,56.78,0.5337,71.36,40.2,83.92,29.65
stylegan,58.63,52.35,57.62,0.3274,96.82,7.87,56.11,59.13
stylegan2,68.54,55.97,61.62,0.3135,96.86,15.08,56.66,66.58
VQDM,82.37,71.0,73.92,0.4437,93.33,48.67,87.67,60.17
whichfaceisreal,53.75,53.0,55.5,0.4462,68.0,38.0,47.0,64.0
wukong,66.8,56.92,61.33,0.3872,94.83,19.0,73.33,49.33
