dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,71.8,61.25,65.42,0.3656,94.67,27.83,80.5,50.33
biggan,74.15,62.5,66.5,0.39,96.0,29.0,85.0,48.0
cyclegan,86.73,72.48,79.46,0.3685,97.67,47.29,76.74,82.17
DALLE2,51.35,48.5,55.0,0.2865,87.0,10.0,44.0,66.0
gaugan,89.52,78.4,81.0,0.4611,91.6,65.2,87.2,74.8
Glide,69.05,59.5,62.17,0.3463,95.17,23.83,73.67,50.67
Midjourney,66.14,55.83,62.25,0.37,95.5,16.17,79.67,44.83
progan,92.61,82.0,83.88,0.4336,94.25,69.75,88.5,79.25
stable_diffusion_v_1_4,60.61,54.0,59.33,0.2591,94.17,13.83,47.83,70.83
stable_diffusion_v_1_5,60.23,53.19,58.94,0.2989,94.25,12.12,61.75,56.12
stargan,62.99,58.29,59.8,0.4919,75.88,40.7,75.38,44.22
stylegan,60.64,52.43,58.88,0.2759,97.82,7.04,54.77,62.98
stylegan2,70.79,56.72,63.0,0.3215,97.99,15.45,77.01,48.99
VQDM,84.98,72.42,76.5,0.3797,94.5,50.33,83.17,69.83
whichfaceisreal,51.64,52.5,53.0,0.4929,74.0,31.0,72.0,34.0
wukong,68.6,56.5,63.08,0.3249,96.0,17.0,69.5,56.67
