dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,86.12,67.14,79.36,0.002,96.52,37.77,76.82,81.9
biggan,97.86,89.98,92.17,0.0925,98.05,81.9,94.4,89.95
cyclegan,99.39,96.18,96.37,0.3956,95.91,96.44,95.69,97.05
DALLE2,58.18,50.6,61.65,0.0001,95.6,5.6,47.3,76.0
gaugan,99.94,98.49,98.85,0.8854,97.56,99.42,99.28,98.42
Glide,89.53,70.78,83.88,0.0048,96.62,44.95,80.98,86.78
Midjourney,71.2,55.81,67.17,0.0005,96.12,15.5,65.83,68.52
progan,99.99,99.5,99.66,0.1533,99.92,99.08,99.75,99.58
stable_diffusion_v_1_4,81.54,61.2,77.07,0.001,96.8,25.6,71.75,82.38
stable_diffusion_v_1_5,81.61,60.51,77.28,0.0012,96.38,24.65,73.5,81.06
stargan,99.72,97.45,97.67,0.2899,98.8,96.1,97.8,97.55
stylegan,98.49,82.35,93.17,0.0003,99.88,64.81,91.49,94.86
stylegan2,99.01,71.64,95.56,0.0003,99.9,43.38,95.18,95.93
VQDM,93.15,78.69,85.75,0.0068,96.65,60.73,83.58,87.92
whichfaceisreal,90.39,82.7,82.7,0.5088,81.8,83.6,82.0,83.4
wukong,85.99,65.69,80.12,0.0017,96.3,35.08,75.8,84.43
