dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,86.63,65.92,80.03,0.0008,97.32,34.52,78.43,81.62
biggan,97.87,89.18,92.07,0.0217,98.25,80.1,92.8,91.35
cyclegan,99.44,96.1,96.63,0.1849,96.29,95.91,95.0,98.26
DALLE2,58.05,50.55,62.15,0.0001,96.6,4.5,57.6,66.7
gaugan,99.94,98.64,98.97,0.7905,97.96,99.32,99.14,98.8
Glide,89.38,68.36,83.84,0.0016,97.3,39.42,80.72,86.97
Midjourney,70.82,54.64,67.27,0.0001,96.97,12.32,61.5,73.03
progan,99.99,99.45,99.67,0.1259,99.9,99.0,99.78,99.58
stable_diffusion_v_1_4,82.49,60.05,77.88,0.0006,97.25,22.85,76.28,79.48
stable_diffusion_v_1_5,82.57,59.56,78.07,0.0004,97.22,21.89,74.75,81.39
stargan,99.7,96.85,97.75,0.1484,99.2,94.5,97.9,97.6
stylegan,98.19,82.1,92.23,0.0001,99.9,64.3,91.92,92.54
stylegan2,98.78,71.98,94.52,0.0002,99.89,44.07,95.74,93.3
VQDM,93.42,77.48,85.92,0.0042,97.4,57.57,85.7,86.15
whichfaceisreal,90.5,81.35,82.4,0.2715,88.6,74.1,81.7,83.1
wukong,86.9,64.8,80.96,0.0012,97.03,32.57,80.48,81.43
