dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,72.68,61.67,66.17,0.3086,96.67,26.67,78.0,54.33
biggan,75.7,61.5,66.75,0.356,97.5,25.5,85.5,48.0
cyclegan,88.22,72.87,81.01,0.3247,98.45,47.29,76.74,85.27
DALLE2,51.49,49.5,55.0,0.2901,89.0,10.0,55.0,55.0
gaugan,90.6,78.7,82.6,0.4268,93.6,63.8,87.2,78.0
Glide,70.49,59.67,63.33,0.2551,96.17,23.17,63.33,63.33
Midjourney,67.26,55.25,62.75,0.3216,96.5,14.0,78.17,47.33
progan,93.57,82.25,85.5,0.384,95.25,69.25,87.0,84.0
stable_diffusion_v_1_4,61.75,53.75,60.0,0.2238,94.83,12.67,51.67,68.33
stable_diffusion_v_1_5,61.29,53.31,59.56,0.2166,96.12,10.5,48.38,70.75
stargan,65.4,60.3,61.31,0.4344,82.91,37.69,67.84,54.77
stylegan,62.4,52.26,59.46,0.2358,98.16,6.37,55.61,63.32
stylegan2,71.91,56.41,63.69,0.2469,98.87,13.94,66.21,61.18
VQDM,86.21,72.92,78.33,0.3362,96.17,49.67,82.17,74.5
whichfaceisreal,50.26,50.0,53.0,0.3399,77.0,23.0,16.0,90.0
wukong,69.57,56.5,64.08,0.2904,97.5,15.5,72.17,56.0
