dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,71.04,61.08,64.83,0.3809,94.33,27.83,79.33,50.33
biggan,72.92,62.25,65.75,0.4228,95.5,29.0,89.5,42.0
cyclegan,85.69,71.71,79.07,0.395,96.9,46.51,79.07,79.07
DALLE2,50.81,47.0,55.0,0.3145,84.0,10.0,46.0,64.0
gaugan,88.59,77.5,80.5,0.4605,90.6,64.4,85.6,75.4
Glide,67.62,59.25,62.0,0.3629,94.67,23.83,72.33,51.67
Midjourney,65.18,55.58,61.25,0.3816,95.0,16.17,76.83,45.67
progan,91.7,81.12,82.12,0.4203,94.0,68.25,83.75,80.5
stable_diffusion_v_1_4,59.9,53.67,58.83,0.2752,93.33,14.0,43.83,73.83
stable_diffusion_v_1_5,59.42,52.81,58.56,0.3248,93.0,12.62,62.0,55.12
stargan,61.54,57.79,58.04,0.5352,74.87,40.7,86.43,29.65
stylegan,59.64,52.35,58.21,0.3052,97.32,7.37,56.95,59.46
stylegan2,69.79,56.6,62.37,0.3246,97.36,15.83,70.23,54.52
VQDM,83.81,71.42,75.0,0.3792,93.83,49.0,77.5,72.5
whichfaceisreal,53.05,51.5,54.5,0.5101,69.0,34.0,78.0,31.0
wukong,67.64,56.42,62.5,0.3768,95.33,17.5,76.83,48.17
