dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,73.41,61.5,67.0,0.3216,96.33,26.67,84.17,49.83
biggan,76.83,62.75,67.5,0.3426,98.5,27.0,87.0,48.0
cyclegan,88.83,73.26,81.4,0.3126,98.45,48.06,78.29,84.5
DALLE2,51.16,49.0,56.0,0.251,89.0,9.0,52.0,60.0
gaugan,90.96,79.6,82.9,0.4104,93.4,65.8,86.8,79.0
Glide,71.71,60.33,64.17,0.2802,96.5,24.17,74.5,53.83
Midjourney,67.74,55.5,63.5,0.2827,96.67,14.33,74.83,52.17
progan,94.17,83.25,86.62,0.3778,95.5,71.0,87.5,85.75
stable_diffusion_v_1_4,62.55,53.83,60.5,0.1871,95.0,12.67,47.17,73.83
stable_diffusion_v_1_5,61.93,53.5,60.19,0.2254,96.25,10.75,60.88,59.5
stargan,66.39,60.3,60.8,0.4293,81.41,39.2,68.34,53.27
stylegan,63.24,52.18,59.97,0.1869,98.16,6.2,46.06,73.87
stylegan2,72.56,57.04,64.01,0.2166,98.87,15.2,62.94,65.08
VQDM,86.96,73.17,78.92,0.3035,96.33,50.0,80.5,77.33
whichfaceisreal,50.35,50.5,52.5,0.3178,78.0,23.0,14.0,91.0
wukong,69.98,56.58,64.83,0.2753,97.83,15.33,74.17,55.5
