dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,70.28,60.92,64.17,0.4112,93.83,28.0,82.67,45.67
biggan,71.8,61.0,65.25,0.4128,94.5,27.5,85.0,45.5
cyclegan,84.28,71.71,77.13,0.4222,96.9,46.51,79.84,74.42
DALLE2,50.81,47.5,55.0,0.3655,84.0,11.0,57.0,53.0
gaugan,87.79,76.3,80.2,0.4591,89.4,63.2,83.8,76.6
Glide,66.27,58.33,60.92,0.3598,93.5,23.17,67.33,54.5
Midjourney,64.66,56.0,60.67,0.3999,94.5,17.5,78.17,43.17
progan,91.06,80.62,81.75,0.444,93.5,67.75,85.5,78.0
stable_diffusion_v_1_4,59.01,54.17,58.0,0.2835,92.83,15.5,40.33,75.67
stable_diffusion_v_1_5,58.72,52.75,58.19,0.3411,92.38,13.12,61.38,55.0
stargan,60.47,56.28,56.78,0.5496,72.36,40.2,87.94,25.63
stylegan,59.09,52.43,57.45,0.3382,96.98,7.87,64.15,50.75
stylegan2,69.11,56.28,62.0,0.3106,96.98,15.58,58.04,65.95
VQDM,82.9,70.67,74.5,0.4285,93.67,47.67,85.83,63.17
whichfaceisreal,53.62,51.0,56.0,0.4417,66.0,36.0,46.0,66.0
wukong,67.04,56.92,62.17,0.391,95.33,18.5,77.17,47.17
