dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,71.16,61.17,64.67,0.3699,94.5,27.83,77.83,51.5
biggan,73.01,62.0,66.0,0.3959,95.5,28.5,84.5,47.5
cyclegan,85.53,71.71,78.29,0.4047,96.9,46.51,80.62,75.97
DALLE2,51.44,47.5,55.0,0.3146,85.0,10.0,47.0,63.0
gaugan,88.75,77.9,80.7,0.4556,90.8,65.0,85.4,76.0
Glide,67.94,59.58,61.83,0.3557,95.17,24.0,72.0,51.67
Midjourney,65.33,55.83,61.5,0.3818,95.17,16.5,78.33,44.67
progan,91.91,81.25,82.38,0.416,94.0,68.5,83.25,81.5
stable_diffusion_v_1_4,59.88,53.75,58.83,0.2681,93.5,14.0,43.17,74.5
stable_diffusion_v_1_5,59.71,52.88,59.0,0.3263,93.38,12.38,65.0,53.0
stargan,61.85,57.04,58.04,0.4848,74.87,39.2,70.85,45.23
stylegan,59.91,52.35,58.54,0.2992,97.32,7.37,56.11,60.97
stylegan2,70.02,56.6,62.37,0.353,97.49,15.7,80.28,44.47
VQDM,84.07,71.83,75.25,0.3881,94.17,49.5,80.67,69.83
whichfaceisreal,52.63,52.0,54.5,0.4328,69.0,35.0,44.0,65.0
wukong,67.75,56.25,62.33,0.3755,95.67,16.83,77.5,47.17
