dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,71.93,61.33,65.33,0.3418,95.33,27.33,79.0,51.67
biggan,74.87,62.25,66.75,0.3913,96.5,28.0,88.5,45.0
cyclegan,87.41,72.87,79.84,0.3612,98.45,47.29,79.84,79.84
DALLE2,51.44,48.0,55.0,0.3007,86.0,10.0,53.0,57.0
gaugan,89.88,77.9,81.4,0.4203,92.0,63.8,83.4,79.4
Glide,69.28,59.5,62.58,0.3588,95.67,23.33,79.33,45.83
Midjourney,66.5,55.33,62.25,0.3295,95.83,14.83,73.67,50.83
progan,92.87,81.62,84.5,0.4052,94.5,68.75,86.75,82.25
stable_diffusion_v_1_4,60.96,53.83,59.67,0.2403,94.5,13.17,47.83,71.5
stable_diffusion_v_1_5,60.56,53.5,59.13,0.2736,95.0,12.0,59.13,59.13
stargan,64.08,58.04,60.55,0.4765,78.39,37.69,73.37,47.74
stylegan,61.22,52.26,59.38,0.2533,97.82,6.7,54.1,64.66
stylegan2,71.17,56.53,62.88,0.3093,98.49,14.57,78.39,47.36
VQDM,85.52,72.33,77.42,0.3543,95.5,49.17,81.5,73.33
whichfaceisreal,51.13,51.0,53.5,0.4831,76.0,26.0,72.0,35.0
wukong,69.06,56.33,63.25,0.2984,96.83,15.83,66.17,60.33
