dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,71.51,61.08,65.0,0.3639,95.0,27.17,78.83,51.17
biggan,73.8,62.25,66.5,0.3878,96.0,28.5,85.5,47.5
cyclegan,86.13,70.54,78.29,0.3851,96.9,44.19,79.84,76.74
DALLE2,50.85,49.0,55.0,0.3023,88.0,10.0,47.0,63.0
gaugan,89.12,77.5,80.8,0.4501,91.6,63.4,86.2,75.4
Glide,68.37,59.25,61.83,0.329,95.33,23.17,68.5,55.17
Midjourney,66.02,55.67,61.92,0.3681,95.83,15.5,78.17,45.67
progan,92.26,81.5,83.38,0.4355,94.25,68.75,88.75,78.0
stable_diffusion_v_1_4,60.1,53.42,59.33,0.2537,93.67,13.17,43.83,74.83
stable_diffusion_v_1_5,59.95,53.12,58.69,0.2974,94.38,11.88,59.38,58.0
stargan,62.75,58.29,59.8,0.4757,77.89,38.69,71.36,48.24
stylegan,60.24,52.51,58.88,0.2779,97.82,7.2,53.6,64.15
stylegan2,70.43,56.34,62.5,0.3425,97.86,14.82,81.41,43.59
VQDM,84.58,71.42,76.08,0.347,94.67,48.17,75.17,77.0
whichfaceisreal,52.33,52.0,54.0,0.4203,75.0,29.0,42.0,66.0
wukong,68.2,56.17,62.83,0.3318,96.5,15.83,70.0,55.67
