dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,73.13,61.67,66.67,0.3284,96.33,27.0,84.17,49.17
biggan,76.4,62.25,67.25,0.3487,98.0,26.5,87.0,47.5
cyclegan,88.8,72.48,82.17,0.3182,98.45,46.51,79.07,85.27
DALLE2,50.85,49.0,55.5,0.2952,89.0,9.0,60.0,51.0
gaugan,90.94,79.6,82.9,0.4316,93.4,65.8,89.2,76.6
Glide,71.14,60.08,63.83,0.3105,96.33,23.83,78.33,49.33
Midjourney,67.26,55.42,62.75,0.2979,96.5,14.33,76.17,49.33
progan,94.02,83.25,86.38,0.3808,95.25,71.25,87.5,85.25
stable_diffusion_v_1_4,62.27,53.83,60.58,0.2122,95.17,12.5,53.67,67.5
stable_diffusion_v_1_5,61.76,53.25,60.31,0.234,96.0,10.5,62.38,58.25
stargan,66.28,60.3,61.06,0.4306,81.91,38.69,67.34,54.77
stylegan,62.99,52.35,59.46,0.1972,98.32,6.37,47.57,71.36
stylegan2,72.48,56.97,64.7,0.2333,98.99,14.95,68.09,61.31
VQDM,86.78,72.83,78.83,0.3037,96.17,49.5,80.0,77.67
whichfaceisreal,49.85,49.5,53.0,0.324,79.0,20.0,17.0,89.0
wukong,69.89,56.42,64.83,0.2809,97.5,15.33,74.17,55.5
