dataset,parameter,value,image_type,count,mean_similarity,std_similarity
biggan,Noise STD,0.03,Real,2000,0.9474271728694439,0.02786878095016581
biggan,Noise STD,0.03,Fake,2000,0.9515614562034607,0.02249491878682486
