dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,73.63,61.75,67.08,0.2793,96.33,27.17,78.33,55.83
biggan,76.99,62.75,67.5,0.3392,98.5,27.0,87.0,48.0
cyclegan,89.07,73.26,81.01,0.3088,98.45,48.06,78.29,83.72
DALLE2,50.99,49.0,56.0,0.2373,89.0,9.0,50.0,62.0
gaugan,91.09,79.5,82.8,0.4105,93.2,65.8,87.4,78.2
Glide,71.75,59.92,64.25,0.2225,96.33,23.5,63.83,64.67
Midjourney,67.9,55.58,63.5,0.2656,96.5,14.67,72.5,54.5
progan,94.33,83.38,87.0,0.3651,95.5,71.25,87.5,86.5
stable_diffusion_v_1_4,62.61,53.92,60.67,0.1799,95.0,12.83,47.17,74.17
stable_diffusion_v_1_5,62.17,53.25,61.0,0.2065,96.25,10.25,57.25,64.75
stargan,67.28,61.31,62.31,0.4921,82.91,39.7,81.91,42.71
stylegan,63.68,52.35,60.3,0.1804,98.32,6.37,45.73,74.87
stylegan2,72.72,57.04,64.13,0.2213,98.99,15.08,67.84,60.43
VQDM,87.21,73.67,79.33,0.3189,96.17,51.17,83.5,75.17
whichfaceisreal,49.84,50.0,51.5,0.432,79.0,21.0,56.0,47.0
wukong,70.11,56.5,64.58,0.2689,97.5,15.5,74.17,55.0
