dataset,parameter,value,image_type,count,mean_similarity,std_similarity
gaugan,Noise STD,0.03,Real,5000,0.9493323024749756,0.02191371707416266
gaugan,Noise STD,0.03,Fake,5000,0.9392869109392166,0.02598957729846224
