dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,71.6,61.42,65.0,0.3654,94.67,28.17,79.17,50.83
biggan,73.89,61.75,65.75,0.3993,96.0,27.5,87.5,44.0
cyclegan,86.58,72.48,79.07,0.3816,97.67,47.29,79.07,79.07
DALLE2,51.61,48.5,56.0,0.3018,87.0,10.0,49.0,63.0
gaugan,89.35,78.2,81.4,0.463,91.6,64.8,87.8,75.0
Glide,68.59,59.42,61.92,0.3726,95.33,23.5,77.5,46.33
Midjourney,65.9,55.75,62.0,0.3719,95.33,16.17,79.67,44.33
progan,92.42,81.75,83.88,0.4328,94.25,69.25,88.5,79.25
stable_diffusion_v_1_4,60.56,53.67,59.42,0.262,93.67,13.67,47.33,71.5
stable_diffusion_v_1_5,60.15,53.19,58.81,0.299,94.25,12.12,60.62,57.0
stargan,63.0,58.04,59.8,0.4927,76.38,39.7,74.87,44.72
stylegan,60.63,52.35,58.79,0.28,97.82,6.87,55.11,62.48
stylegan2,70.69,56.53,62.63,0.3396,97.99,15.08,80.78,44.47
VQDM,84.82,72.42,76.42,0.3432,94.67,50.17,74.67,78.17
whichfaceisreal,52.37,52.5,54.0,0.3673,74.0,31.0,16.0,92.0
wukong,68.49,56.67,63.25,0.3349,96.17,17.17,71.67,54.83
