dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,72.43,61.58,65.67,0.3139,95.83,27.33,76.5,54.83
biggan,75.48,61.25,66.5,0.3594,96.5,26.0,85.0,48.0
cyclegan,88.17,73.26,81.4,0.3398,98.45,48.06,77.52,85.27
DALLE2,51.11,49.0,55.0,0.2837,88.0,10.0,52.0,58.0
gaugan,90.42,79.0,81.8,0.4365,92.6,65.4,86.8,76.8
Glide,70.25,60.08,63.0,0.3423,95.83,24.33,79.33,46.67
Midjourney,66.85,55.0,62.5,0.3311,95.83,14.17,77.67,47.33
progan,93.43,82.38,85.25,0.3995,95.25,69.5,88.0,82.5
stable_diffusion_v_1_4,61.69,53.67,60.33,0.2123,94.5,12.83,43.83,76.83
stable_diffusion_v_1_5,61.2,53.31,59.5,0.2614,95.38,11.25,61.0,58.0
stargan,65.16,60.05,60.8,0.4633,79.4,40.7,72.36,49.25
stylegan,61.84,52.18,59.05,0.2438,97.99,6.37,55.44,62.65
stylegan2,71.59,56.72,63.25,0.2725,98.74,14.7,71.73,54.77
VQDM,86.08,72.83,77.92,0.3428,96.0,49.67,81.67,74.17
whichfaceisreal,50.57,51.5,53.0,0.4786,77.0,26.0,72.0,34.0
wukong,69.6,56.75,64.08,0.2747,96.83,16.67,64.17,64.0
