dataset,parameter,value,image_type,count,mean_similarity,std_similarity
DALLE2,Noise STD,0.05,Real,999,0.9351695912616985,0.02450870444276237
DALLE2,Noise STD,0.05,Fake,1000,0.9091359711885453,0.031964369252037876
