dataset,parameter,value,image_type,count,mean_similarity,std_similarity
stargan,Noise STD,0.03,Real,1999,0.9313730254001532,0.020771079035896558
stargan,Noise STD,0.03,Fake,1999,0.9410971799392949,0.018914460681497988
