dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,73.24,61.67,66.83,0.2849,96.33,27.0,77.17,56.5
biggan,76.8,62.75,67.75,0.346,98.5,27.0,87.5,48.0
cyclegan,88.82,72.87,81.4,0.3079,98.45,47.29,76.74,86.05
DALLE2,51.09,49.5,55.5,0.2973,89.0,10.0,62.0,49.0
gaugan,91.0,79.5,82.8,0.4173,93.4,65.6,87.0,78.6
Glide,71.48,60.42,64.0,0.2847,96.33,24.5,74.83,53.17
Midjourney,67.62,55.67,63.08,0.2818,96.67,14.67,73.33,52.83
progan,94.15,83.38,86.5,0.38,95.25,71.5,87.75,85.25
stable_diffusion_v_1_4,62.44,53.92,60.67,0.1911,95.33,12.5,47.33,74.0
stable_diffusion_v_1_5,61.89,53.25,60.12,0.2213,95.75,10.75,57.88,62.38
stargan,66.41,60.05,61.31,0.4356,80.4,39.7,67.84,54.77
stylegan,63.13,52.43,59.72,0.1832,98.66,6.2,41.88,77.55
stylegan2,72.61,56.91,64.51,0.2329,98.87,14.95,68.09,60.93
VQDM,86.87,73.25,78.83,0.3147,96.17,50.33,81.67,76.0
whichfaceisreal,50.07,49.0,52.0,0.3461,76.0,22.0,22.0,82.0
wukong,70.06,56.58,64.67,0.3098,97.67,15.5,80.83,48.5
