dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,72.42,61.67,66.0,0.338,96.17,27.17,80.67,51.33
biggan,75.71,61.5,67.75,0.3616,96.5,26.5,86.5,49.0
cyclegan,88.08,73.26,80.62,0.3388,98.45,48.06,77.52,83.72
DALLE2,51.54,49.5,55.0,0.2668,89.0,10.0,46.0,64.0
gaugan,90.34,78.8,82.2,0.43,92.8,64.8,85.8,78.6
Glide,70.1,59.67,63.08,0.3522,96.0,23.33,80.67,45.5
Midjourney,66.89,55.33,62.58,0.3302,96.0,14.67,77.17,48.0
progan,93.33,82.25,85.5,0.4046,95.0,69.5,88.75,82.25
stable_diffusion_v_1_4,61.53,53.67,59.83,0.2173,94.67,12.67,44.0,75.67
stable_diffusion_v_1_5,61.06,53.25,59.94,0.2269,95.0,11.5,48.38,71.5
stargan,64.68,58.79,60.3,0.463,79.4,38.19,71.86,48.74
stylegan,61.84,52.18,59.38,0.2464,97.99,6.37,55.61,63.15
stylegan2,71.66,56.53,63.32,0.2731,98.74,14.32,70.48,56.16
VQDM,86.01,72.83,77.75,0.3556,95.83,49.83,83.33,72.17
whichfaceisreal,50.5,50.5,53.0,0.3478,75.0,26.0,15.0,91.0
wukong,69.51,56.42,63.92,0.3207,96.67,16.17,76.33,51.5
