dataset,parameter,value,image_type,count,mean_similarity,std_similarity
Midjourney,Noise STD,0.1,Real,6000,0.8785842404663563,0.04822773281216152
Midjourney,Noise STD,0.1,Fake,6000,0.8771028050283591,0.044778604161687656
