dataset,parameter,value,image_type,count,mean_similarity,std_similarity
DALLE2,Noise STD,0.03,Real,100,0.9761501032114029,0.015887668986189818
DALLE2,Noise STD,0.03,Fake,100,0.9582586723566056,0.021443398066445376
