dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,72.07,61.5,65.75,0.3366,96.0,27.0,79.83,51.67
biggan,75.37,61.25,67.0,0.3596,96.5,26.0,84.5,49.5
cyclegan,87.62,72.09,80.62,0.357,98.45,45.74,79.84,81.4
DALLE2,51.16,48.5,55.0,0.269,88.0,9.0,46.0,64.0
gaugan,90.21,78.6,81.7,0.4372,93.0,64.2,86.8,76.6
Glide,69.88,59.67,63.08,0.354,96.0,23.33,80.33,45.83
Midjourney,66.83,55.42,62.42,0.3379,96.17,14.67,78.5,46.33
progan,93.23,82.0,85.0,0.4092,94.75,69.25,88.5,81.5
stable_diffusion_v_1_4,61.38,53.42,59.83,0.2243,94.5,12.33,45.33,74.33
stable_diffusion_v_1_5,60.86,53.44,59.44,0.23,95.5,11.38,48.0,70.88
stargan,64.68,58.54,60.55,0.4657,79.9,37.19,72.86,48.24
stylegan,61.49,52.18,59.55,0.2514,97.99,6.37,56.62,62.48
stylegan2,71.38,56.66,63.44,0.2742,98.87,14.45,69.85,57.04
VQDM,85.79,72.42,77.83,0.3516,96.0,48.83,82.33,73.33
whichfaceisreal,50.63,51.0,53.0,0.4782,76.0,26.0,71.0,35.0
wukong,69.28,56.25,63.75,0.3349,97.0,15.5,79.0,48.5
