dataset,parameter,noise_std,image_type,count,mean_similarity,std_similarity,source_csv
gaugan,Noise STD,0.1,Real,5000,0.8681893316388131,0.0445093846920509,gaugan/noise_cosine_similarity_gaugan_0.1.csv
progan,Noise STD,0.03,Fake,4000,0.9272967848926784,0.027015808109051,progan/noise_cosine_similarity_progan_0.03.csv
progan,Noise STD,0.03,Real,4000,0.9479311084896326,0.0225637800946327,progan/noise_cosine_similarity_progan_0.03.csv
progan,Noise STD,0.05,Fake,4000,0.9083082423061132,0.0316918810793796,progan/noise_cosine_similarity_progan_0.05.csv
progan,Noise STD,0.05,Real,4000,0.9269496064037084,0.0299933208617953,progan/noise_cosine_similarity_progan_0.05.csv
progan,Noise STD,0.1,Fake,4000,0.8607943696677685,0.0430744801238951,progan/noise_cosine_similarity_progan_0.1.csv
progan,Noise STD,0.1,Real,4000,0.8729908491820096,0.047632711325963,progan/noise_cosine_similarity_progan_0.1.csv
stable_diffusion_v_1_4,Noise STD,0.03,Fake,6000,0.9608264690935612,0.0178837875696274,stable_diffusion_v_1_4/noise_cosine_similarity_stable_diffusion_v_1_4_0.03.csv
stable_diffusion_v_1_4,Noise STD,0.03,Real,6000,0.9540477296710016,0.0227616139327305,stable_diffusion_v_1_4/noise_cosine_similarity_stable_diffusion_v_1_4_0.03.csv
stable_diffusion_v_1_4,Noise STD,0.05,Fake,6000,0.9414528254270552,0.0255117576751407,stable_diffusion_v_1_4/noise_cosine_similarity_stable_diffusion_v_1_4_0.05.csv
stable_diffusion_v_1_4,Noise STD,0.05,Real,6000,0.9311515669723353,0.0297967037939861,stable_diffusion_v_1_4/noise_cosine_similarity_stable_diffusion_v_1_4_0.05.csv
stable_diffusion_v_1_4,Noise STD,0.1,Fake,6000,0.901567234804233,0.0395389812846481,stable_diffusion_v_1_4/noise_cosine_similarity_stable_diffusion_v_1_4_0.1.csv
stable_diffusion_v_1_4,Noise STD,0.1,Real,6000,0.8796242105960846,0.0466910932341531,stable_diffusion_v_1_4/noise_cosine_similarity_stable_diffusion_v_1_4_0.1.csv
stable_diffusion_v_1_5,Noise STD,0.03,Fake,8000,0.9607560804113746,0.0183310179748431,stable_diffusion_v_1_5/noise_cosine_similarity_stable_diffusion_v_1_5_0.03.csv
stable_diffusion_v_1_5,Noise STD,0.03,Real,8000,0.9541784127727152,0.0220740719986602,stable_diffusion_v_1_5/noise_cosine_similarity_stable_diffusion_v_1_5_0.03.csv
stable_diffusion_v_1_5,Noise STD,0.05,Fake,8000,0.9415976938679814,0.0258811076707662,stable_diffusion_v_1_5/noise_cosine_similarity_stable_diffusion_v_1_5_0.05.csv
