dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,68.87,61.08,63.33,0.4252,92.33,29.83,78.83,47.83
biggan,69.02,60.0,63.0,0.4618,93.0,27.0,88.5,37.5
cyclegan,81.7,73.64,75.19,0.4707,92.25,55.04,86.82,63.57
DALLE2,49.85,48.0,54.5,0.2323,84.0,12.0,11.0,98.0
gaugan,85.66,75.8,77.8,0.4526,87.2,64.4,77.0,78.6
Glide,63.33,56.58,59.42,0.3426,90.5,22.67,51.17,67.67
Midjourney,63.22,56.25,59.67,0.4224,92.83,19.67,76.33,43.0
progan,89.58,79.25,79.5,0.5068,90.75,67.75,91.5,67.5
stable_diffusion_v_1_4,57.37,53.83,56.83,0.3792,90.33,17.33,61.67,52.0
stable_diffusion_v_1_5,57.04,52.06,56.88,0.381,89.88,14.25,64.25,49.5
stargan,58.41,55.03,55.78,0.5674,67.84,42.21,88.94,22.61
stylegan,57.43,52.26,56.11,0.3542,95.64,8.88,55.95,56.28
stylegan2,67.15,56.28,60.87,0.3708,95.48,17.09,68.22,53.52
VQDM,80.25,69.67,72.0,0.4381,92.0,47.33,80.5,63.5
whichfaceisreal,55.07,54.5,56.5,0.4645,66.0,43.0,51.0,62.0
wukong,65.17,56.83,60.67,0.3877,93.33,20.33,65.5,55.83
