dataset,parameter,value,image_type,count,mean_similarity,std_similarity
cyclegan,Noise STD,0.05,Real,1321,0.9257910611230618,0.03501917068633302
cyclegan,Noise STD,0.05,Fake,1321,0.9338578680624662,0.029307588250657702
