dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,71.35,61.17,64.75,0.3647,94.5,27.83,78.17,51.33
biggan,73.3,61.75,66.0,0.3852,96.0,27.5,83.0,49.0
cyclegan,85.71,71.32,77.91,0.3984,96.9,45.74,79.84,75.97
DALLE2,51.06,49.0,55.5,0.3027,88.0,10.0,47.0,64.0
gaugan,88.87,78.0,80.7,0.4546,91.4,64.6,85.8,75.6
Glide,68.19,59.17,61.67,0.3333,95.33,23.0,68.5,54.83
Midjourney,65.62,55.83,62.17,0.3775,95.17,16.5,79.67,44.67
progan,92.11,81.38,82.75,0.4396,94.0,68.75,88.5,77.0
stable_diffusion_v_1_4,59.94,53.75,58.83,0.261,93.5,14.0,43.5,74.17
stable_diffusion_v_1_5,59.79,53.0,58.81,0.3197,93.88,12.12,64.62,53.0
stargan,62.49,57.79,58.79,0.472,76.88,38.69,67.84,49.75
stylegan,60.2,52.51,58.79,0.2949,97.65,7.37,57.29,60.3
stylegan2,70.4,56.47,62.69,0.2755,97.74,15.2,56.03,69.35
VQDM,84.32,71.83,75.75,0.3511,94.5,49.17,74.33,77.17
whichfaceisreal,52.63,52.0,54.0,0.374,71.0,33.0,17.0,91.0
wukong,68.09,56.33,63.0,0.3659,96.0,16.67,77.33,48.67
