dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,87.25,66.33,80.46,0.0008,97.4,35.25,80.62,80.3
biggan,97.85,89.08,92.03,0.0179,98.45,79.7,92.05,92.0
cyclegan,99.49,96.67,96.71,0.2568,96.59,96.74,95.91,97.5
DALLE2,60.72,50.6,64.65,0.0,96.6,4.6,59.0,70.3
gaugan,99.94,98.67,98.89,0.8406,97.98,99.36,99.1,98.68
Glide,90.5,70.0,85.07,0.0013,97.35,42.65,82.57,87.57
Midjourney,72.01,55.12,68.38,0.0,96.97,13.28,62.95,73.82
progan,99.99,99.49,99.66,0.1112,99.92,99.05,99.75,99.58
stable_diffusion_v_1_4,83.44,60.54,78.94,0.0002,97.47,23.62,73.52,84.37
stable_diffusion_v_1_5,83.4,59.88,79.06,0.0002,97.16,22.59,75.1,83.01
stargan,99.62,96.32,97.3,0.1752,99.15,93.5,98.0,96.6
stylegan,98.24,82.26,92.37,0.0001,99.92,64.6,92.92,91.82
stylegan2,98.68,71.29,94.22,0.0,99.92,42.65,94.39,94.05
VQDM,93.68,77.98,86.33,0.0029,97.4,58.57,85.82,86.85
whichfaceisreal,91.06,82.25,83.1,0.2845,85.5,79.0,79.1,87.1
wukong,87.3,64.98,81.74,0.0004,97.28,32.68,77.78,85.7
