dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,72.57,61.5,66.17,0.3451,96.17,26.83,83.0,49.33
biggan,75.91,62.25,67.0,0.3515,97.5,27.0,85.0,49.0
cyclegan,87.94,74.03,80.62,0.3322,98.45,49.61,75.97,85.27
DALLE2,50.62,49.0,55.0,0.2848,88.0,10.0,53.0,57.0
gaugan,90.6,79.7,82.6,0.431,92.6,66.8,86.8,78.4
Glide,70.43,60.42,63.25,0.3092,96.0,24.83,74.17,52.33
Midjourney,67.08,55.5,62.83,0.3221,96.0,15.0,77.0,48.67
progan,93.61,83.0,85.5,0.4051,95.0,71.0,88.5,82.5
stable_diffusion_v_1_4,61.93,53.75,60.42,0.2153,94.5,13.0,47.0,73.83
stable_diffusion_v_1_5,61.3,53.31,59.88,0.2524,95.5,11.12,60.0,59.75
stargan,65.54,60.55,61.81,0.4445,80.4,40.7,67.84,55.78
stylegan,62.39,52.18,59.38,0.2121,97.99,6.37,45.06,73.7
stylegan2,71.8,56.72,63.38,0.2539,98.74,14.7,66.33,60.43
VQDM,86.19,73.75,78.25,0.3395,96.17,51.33,82.17,74.33
whichfaceisreal,50.26,50.0,52.5,0.3322,75.0,25.0,14.0,91.0
wukong,69.55,56.83,64.08,0.3104,96.83,16.83,75.67,52.5
