dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,71.85,61.33,65.33,0.3476,95.17,27.5,79.0,51.67
biggan,74.55,62.0,67.0,0.3889,96.0,28.0,88.0,46.0
cyclegan,87.15,72.09,79.07,0.3578,98.45,45.74,75.97,82.17
DALLE2,51.72,48.0,55.5,0.3074,86.0,10.0,53.0,58.0
gaugan,89.79,78.1,81.1,0.4487,92.0,64.2,87.4,74.8
Glide,69.25,59.42,62.33,0.3612,95.67,23.17,78.5,46.17
Midjourney,66.39,55.33,62.08,0.3455,95.67,15.0,76.83,47.33
progan,92.83,81.62,84.38,0.4189,94.25,69.0,88.5,80.25
stable_diffusion_v_1_4,61.02,54.0,59.42,0.2456,94.5,13.5,48.17,70.67
stable_diffusion_v_1_5,60.51,53.44,58.88,0.275,95.0,11.88,58.25,59.5
stargan,64.16,57.54,60.05,0.4781,77.39,37.69,72.36,47.74
stylegan,60.84,52.26,58.96,0.2684,97.82,6.7,56.45,61.47
stylegan2,70.74,56.09,62.81,0.2799,98.49,13.69,66.83,58.79
VQDM,85.32,72.17,76.83,0.3344,95.33,49.0,76.33,77.33
whichfaceisreal,51.39,51.5,53.5,0.3596,76.0,27.0,17.0,90.0
wukong,69.15,56.42,63.92,0.31,96.67,16.17,69.5,58.33
