dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,86.77,66.24,80.16,0.0005,97.13,35.35,78.23,82.08
biggan,97.91,89.7,92.12,0.0387,98.3,81.1,93.9,90.35
cyclegan,99.5,96.52,96.56,0.3807,96.9,96.14,96.52,96.59
DALLE2,59.55,50.55,63.4,0.0,96.8,4.3,56.6,70.2
gaugan,99.92,98.62,98.76,0.7682,98.22,99.02,99.04,98.48
Glide,89.91,69.58,84.43,0.0018,97.0,42.17,83.37,85.5
Midjourney,70.51,54.57,67.6,0.0,96.57,12.58,59.48,75.72
progan,100.0,99.48,99.66,0.0252,99.9,99.05,99.55,99.78
stable_diffusion_v_1_4,83.47,61.37,79.05,0.0002,97.03,25.7,73.32,84.78
stable_diffusion_v_1_5,83.51,60.71,79.24,0.0002,96.9,24.51,73.88,84.6
stargan,99.6,96.22,97.07,0.1537,99.1,93.35,97.45,96.7
stylegan,98.3,83.05,92.43,0.0001,99.88,66.22,91.15,93.71
stylegan2,98.84,72.88,94.55,0.0,99.91,45.84,94.93,94.18
VQDM,93.55,78.22,86.33,0.0021,97.12,59.32,84.48,88.18
whichfaceisreal,90.72,82.4,82.65,0.3916,86.2,78.6,82.8,82.5
wukong,87.53,65.85,81.82,0.0006,97.07,34.63,79.13,84.5
