dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,72.72,61.42,66.17,0.3056,96.33,26.5,78.67,53.67
biggan,76.15,61.75,67.0,0.3534,97.5,26.0,87.0,47.0
cyclegan,88.34,72.48,81.01,0.3185,98.45,46.51,75.97,86.05
DALLE2,50.63,49.0,54.5,0.3063,89.0,9.0,59.0,50.0
gaugan,90.7,79.1,82.5,0.4265,93.4,64.8,87.4,77.6
Glide,70.64,59.75,63.25,0.3358,96.17,23.33,81.0,45.5
Midjourney,67.27,55.08,63.08,0.3106,96.33,13.83,77.17,49.0
progan,93.65,82.75,85.5,0.3803,95.25,70.25,87.0,84.0
stable_diffusion_v_1_4,61.92,53.58,60.75,0.2102,94.83,12.33,49.5,72.0
stable_diffusion_v_1_5,61.38,53.25,59.75,0.2072,95.88,10.62,47.5,72.0
stargan,65.58,59.8,61.06,0.4419,81.41,38.19,69.35,52.76
stylegan,62.4,52.18,59.3,0.2257,98.16,6.2,54.1,64.49
stylegan2,71.93,56.78,63.82,0.2504,99.12,14.45,68.97,58.67
VQDM,86.36,73.08,78.5,0.3325,96.17,50.0,82.67,74.33
whichfaceisreal,50.3,49.5,53.5,0.3322,76.0,23.0,16.0,91.0
wukong,69.62,56.42,64.25,0.3061,97.5,15.33,76.83,51.67
