dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,70.48,60.67,64.17,0.3835,93.83,27.5,77.83,50.5
biggan,72.33,61.0,65.75,0.399,95.0,27.0,83.0,48.5
cyclegan,84.83,70.93,77.52,0.4186,96.9,44.96,81.4,73.64
DALLE2,50.87,47.5,54.5,0.3553,85.0,10.0,54.0,55.0
gaugan,88.13,77.0,80.4,0.4533,90.0,64.0,84.2,76.6
Glide,66.67,59.0,61.08,0.3529,94.5,23.5,67.83,54.33
Midjourney,64.83,56.0,61.0,0.395,94.83,17.17,79.0,43.0
progan,91.36,80.62,82.0,0.4415,93.75,67.5,86.5,77.5
stable_diffusion_v_1_4,59.37,53.92,58.67,0.2789,93.17,14.67,41.67,75.67
stable_diffusion_v_1_5,59.0,52.88,58.63,0.3361,92.88,12.88,62.25,55.0
stargan,60.58,55.28,57.29,0.5392,73.87,36.68,87.44,27.14
stylegan,59.14,52.6,57.87,0.3167,97.32,7.87,57.29,58.46
stylegan2,69.26,56.16,61.87,0.3791,97.24,15.08,83.17,40.58
VQDM,83.19,71.08,74.67,0.4267,94.17,48.0,86.33,63.0
whichfaceisreal,53.47,53.5,55.5,0.4364,73.0,34.0,45.0,66.0
wukong,67.31,56.92,62.17,0.3844,95.5,18.33,76.5,47.83
