dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,73.6,61.75,67.08,0.2742,96.0,27.5,76.5,57.67
biggan,76.9,62.5,67.5,0.3448,98.0,27.0,87.5,47.5
cyclegan,89.19,73.64,81.4,0.3081,98.45,48.84,78.29,84.5
DALLE2,50.98,49.0,56.5,0.2525,89.0,9.0,54.0,59.0
gaugan,91.29,80.3,83.3,0.4161,93.2,67.4,87.6,79.0
Glide,71.97,60.17,64.67,0.2245,96.17,24.17,63.67,65.67
Midjourney,68.08,55.67,63.25,0.2691,96.5,14.83,72.67,53.83
progan,94.37,83.88,87.0,0.3671,95.5,72.25,87.25,86.75
stable_diffusion_v_1_4,62.64,54.0,61.0,0.1828,94.83,13.17,47.67,74.33
stable_diffusion_v_1_5,62.23,53.5,60.81,0.2108,95.88,11.12,57.75,63.88
stargan,67.15,62.06,62.06,0.4467,81.91,42.21,70.85,53.27
stylegan,63.6,52.26,60.3,0.1813,98.16,6.37,45.23,75.38
stylegan2,72.82,57.04,64.51,0.2167,98.87,15.2,65.08,63.94
VQDM,87.24,74.0,79.33,0.3281,96.0,52.0,83.83,74.83
whichfaceisreal,49.9,50.0,52.0,0.3693,77.0,23.0,29.0,75.0
wukong,70.08,56.58,64.67,0.2892,97.0,16.17,78.5,50.83
