dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,69.07,61.0,63.17,0.4216,92.83,29.17,79.67,46.67
biggan,69.74,59.75,63.75,0.4249,93.0,26.5,81.5,46.0
cyclegan,82.42,73.26,75.19,0.4655,93.02,53.49,86.05,64.34
DALLE2,50.02,47.5,54.5,0.2285,83.0,12.0,11.0,98.0
gaugan,86.21,76.4,78.2,0.4562,88.2,64.6,79.2,77.2
Glide,63.76,56.75,59.17,0.3896,91.0,22.5,67.83,50.5
Midjourney,63.42,56.17,60.0,0.4253,93.33,19.0,78.5,41.5
progan,89.94,79.5,79.88,0.5148,91.0,68.0,93.5,66.25
stable_diffusion_v_1_4,57.7,53.83,57.42,0.367,90.83,16.83,60.33,54.5
stable_diffusion_v_1_5,57.54,52.25,57.06,0.3697,90.38,14.12,61.88,52.25
stargan,58.82,54.52,55.78,0.5691,68.84,40.2,89.45,22.11
stylegan,57.6,52.18,56.28,0.3537,95.98,8.38,59.46,53.1
stylegan2,67.5,56.03,60.87,0.3285,95.73,16.33,54.9,66.83
VQDM,80.83,69.75,72.58,0.4181,92.33,47.17,78.0,67.17
whichfaceisreal,54.5,53.0,56.5,0.4583,67.0,39.0,51.0,62.0
wukong,65.7,57.08,60.92,0.3797,94.0,20.17,64.83,57.0
