dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,72.95,61.83,66.67,0.34,96.0,27.67,84.17,49.17
biggan,76.54,62.25,67.75,0.3578,97.5,27.0,87.5,48.0
cyclegan,88.62,73.64,81.78,0.3194,98.45,48.84,76.74,86.82
DALLE2,50.86,49.5,55.0,0.3032,89.0,10.0,59.0,51.0
gaugan,90.84,79.9,82.4,0.4428,93.0,66.8,88.8,76.0
Glide,70.99,60.17,63.67,0.3016,95.67,24.67,74.83,52.5
Midjourney,67.2,55.5,62.58,0.2854,96.17,14.83,71.0,54.17
progan,93.9,83.5,86.25,0.3871,95.25,71.75,86.75,85.75
stable_diffusion_v_1_4,62.09,53.92,60.42,0.2091,94.5,13.33,49.5,71.33
stable_diffusion_v_1_5,61.66,53.37,59.94,0.2448,95.5,11.25,62.12,57.75
stargan,66.43,61.56,61.56,0.4397,80.9,42.21,67.84,55.28
stylegan,62.87,52.35,59.72,0.1941,97.99,6.7,42.21,77.22
stylegan2,72.34,56.85,64.2,0.2411,98.62,15.08,67.21,61.18
VQDM,86.63,73.5,78.67,0.3285,96.0,51.0,82.0,75.33
whichfaceisreal,49.89,50.0,53.5,0.4657,75.0,25.0,68.0,39.0
wukong,69.81,56.83,64.75,0.2894,96.67,17.0,73.83,55.67
