dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,73.53,61.75,67.25,0.294,96.0,27.5,79.0,55.5
biggan,76.86,62.5,67.25,0.3486,98.0,27.0,87.0,47.5
cyclegan,89.07,73.26,81.4,0.315,98.45,48.06,77.52,85.27
DALLE2,51.11,49.0,55.5,0.2512,89.0,9.0,51.0,60.0
gaugan,91.11,80.3,83.1,0.4214,93.2,67.4,87.8,78.4
Glide,71.9,60.33,64.33,0.232,96.17,24.5,64.0,64.67
Midjourney,67.97,55.5,63.58,0.2774,96.33,14.67,73.33,53.83
progan,94.31,83.5,86.88,0.3783,95.25,71.75,87.25,86.5
stable_diffusion_v_1_4,62.52,54.08,60.25,0.1873,94.83,13.33,47.17,73.33
stable_diffusion_v_1_5,62.08,53.44,60.75,0.2141,95.75,11.12,57.12,64.38
stargan,66.97,61.06,61.56,0.4318,79.9,42.21,67.84,55.28
stylegan,63.39,52.35,60.13,0.1857,98.16,6.53,44.56,75.71
stylegan2,72.6,57.04,64.26,0.23,98.87,15.2,67.96,60.55
VQDM,87.18,73.75,79.17,0.3043,96.0,51.5,80.33,78.0
whichfaceisreal,49.89,51.0,51.5,0.323,77.0,25.0,12.0,91.0
wukong,70.12,56.5,64.5,0.291,97.33,15.67,77.67,51.33
