dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,70.75,61.08,64.33,0.3795,94.17,28.0,77.67,51.0
biggan,72.44,61.75,65.25,0.3984,95.5,28.0,82.5,48.0
cyclegan,85.13,71.71,78.68,0.4172,96.9,46.51,83.72,73.64
DALLE2,51.27,47.0,55.0,0.3603,84.0,10.0,58.0,52.0
gaugan,88.37,77.1,80.3,0.462,90.6,63.6,85.4,75.2
Glide,67.36,59.17,61.42,0.349,94.5,23.83,68.0,54.83
Midjourney,65.1,55.75,61.0,0.3889,94.67,16.83,77.67,44.33
progan,91.52,81.25,81.88,0.4244,94.0,68.5,83.25,80.5
stable_diffusion_v_1_4,59.45,53.92,58.25,0.2717,93.17,14.67,40.67,75.83
stable_diffusion_v_1_5,59.13,52.88,58.56,0.3254,93.12,12.62,60.5,56.62
stargan,61.17,57.04,57.54,0.4966,74.87,39.2,73.37,41.71
stylegan,59.42,52.51,57.96,0.3121,97.32,7.71,57.62,58.29
stylegan2,69.67,56.34,62.44,0.329,97.24,15.45,70.48,54.4
VQDM,83.53,70.92,74.92,0.429,94.0,47.83,87.33,62.5
whichfaceisreal,52.85,51.5,55.0,0.4418,68.0,35.0,47.0,63.0
wukong,67.35,56.5,62.17,0.3767,95.33,17.67,75.5,48.83
