dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,72.17,61.5,65.75,0.34,95.67,27.33,79.5,52.0
biggan,75.13,62.0,67.0,0.3897,96.5,27.5,88.5,45.5
cyclegan,87.73,72.87,79.84,0.3594,98.45,47.29,79.07,80.62
DALLE2,51.33,48.5,55.5,0.2737,87.0,10.0,47.0,64.0
gaugan,90.03,78.4,81.5,0.4199,91.8,65.0,82.8,80.2
Glide,69.68,59.67,62.67,0.3612,95.67,23.67,80.17,45.17
Midjourney,66.72,55.33,62.67,0.3385,95.83,14.83,77.17,48.17
progan,93.1,81.62,84.75,0.4224,94.5,68.75,89.5,80.0
stable_diffusion_v_1_4,61.15,53.83,59.83,0.2311,94.5,13.17,45.67,74.0
stable_diffusion_v_1_5,60.8,53.31,59.38,0.2684,94.88,11.75,58.63,60.12
stargan,64.37,58.54,61.06,0.4719,78.89,38.19,73.37,48.74
stylegan,61.3,52.35,59.3,0.2529,97.82,6.87,54.27,64.32
stylegan2,71.38,56.53,63.19,0.3167,98.49,14.57,81.03,45.35
VQDM,85.6,72.58,77.33,0.357,95.67,49.5,82.33,72.33
whichfaceisreal,50.78,51.0,53.5,0.4845,76.0,26.0,72.0,35.0
wukong,69.43,56.17,64.0,0.2979,96.5,15.83,68.33,59.67
