dataset,parameter,value,image_type,count,mean_similarity,std_similarity
VQDM,Noise STD,0.1,Real,6000,0.8779248206019401,0.04846202670301471
VQDM,Noise STD,0.1,Fake,6000,0.8684668217003345,0.04926787934244907
