dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,69.42,60.5,63.67,0.4016,93.5,27.5,77.5,49.83
biggan,70.17,59.75,64.25,0.4165,94.0,25.5,82.5,46.0
cyclegan,82.9,69.77,76.36,0.4549,95.35,44.19,88.37,64.34
DALLE2,50.55,47.5,55.5,0.3796,84.0,11.0,58.0,53.0
gaugan,86.67,75.3,78.7,0.4565,88.4,62.2,81.2,76.2
Glide,64.65,57.0,59.83,0.3666,91.83,22.17,64.83,54.83
Midjourney,63.73,55.75,60.33,0.4102,94.33,17.17,77.67,43.0
progan,90.25,80.62,80.62,0.503,93.5,67.75,93.75,67.5
stable_diffusion_v_1_4,57.97,54.08,57.33,0.2959,92.67,15.5,38.67,76.0
stable_diffusion_v_1_5,57.8,52.25,57.44,0.3582,91.5,13.0,63.0,51.88
stargan,58.98,55.03,56.03,0.5435,71.36,38.69,86.93,25.13
stylegan,58.09,52.51,56.95,0.3405,96.98,8.04,59.13,54.77
stylegan2,67.94,55.53,61.75,0.3742,96.48,14.57,76.38,47.11
VQDM,81.48,69.75,72.83,0.4334,93.33,46.17,84.33,61.33
whichfaceisreal,53.82,53.5,55.5,0.4464,70.0,37.0,50.0,61.0
wukong,65.96,56.42,60.92,0.3964,94.83,18.0,74.67,47.17
